scenario,region,weo_product,weo_flow,year,value,co2_reductions
Net Zero Emissions by 2050 Scenario,World,Total,Road heavy-duty trucks,2030,1574.26,0.067436763
Net Zero Emissions by 2050 Scenario,World,Total,Road heavy-duty trucks,2040,745.58,0.558331852
Net Zero Emissions by 2050 Scenario,World,Total,Road heavy-duty trucks,2050,136.12,0.919364967
Net Zero Emissions by 2050 Scenario,World,Total,Total aviation (domestic and bunkers),2020,586.31,0
Net Zero Emissions by 2050 Scenario,World,Total,Total aviation (domestic and bunkers),2030,884.21,-0.508092988
Net Zero Emissions by 2050 Scenario,World,Total,Total aviation (domestic and bunkers),2040,511.02,0.128413297
Net Zero Emissions by 2050 Scenario,World,Total,Total aviation (domestic and bunkers),2050,199.44,0.659838652
Net Zero Emissions by 2050 Scenario,World,Total,Total navigation (domestic and bunkers),2020,795.85,0
Net Zero Emissions by 2050 Scenario,World,Total,Total navigation (domestic and bunkers),2030,673.37,0.153898348
Net Zero Emissions by 2050 Scenario,World,Total,Total navigation (domestic and bunkers),2040,303.78,0.618294905
Net Zero Emissions by 2050 Scenario,World,Total,Total navigation (domestic and bunkers),2050,107.1,0.865426902
Net Zero Emissions by 2050 Scenario,World,Total,Buildings,2020,2850.65,0
Net Zero Emissions by 2050 Scenario,World,Total,Buildings,2030,1631.91,0.427530563
Net Zero Emissions by 2050 Scenario,World,Total,Buildings,2040,474.58,0.833518671
Net Zero Emissions by 2050 Scenario,World,Total,Buildings,2050,55.36,0.980579868
Net Zero Emissions by 2050 Scenario,World,Total,Residential,2020,1982.94,0
Net Zero Emissions by 2050 Scenario,World,Total,Residential,2030,1197.4,0.396149152
Net Zero Emissions by 2050 Scenario,World,Total,Residential,2040,368.88,0.813973191
Net Zero Emissions by 2050 Scenario,World,Total,Residential,2050,54.61,0.972460085
Net Zero Emissions by 2050 Scenario,World,Total,Services,2020,867.71,0
Net Zero Emissions by 2050 Scenario,World,Total,Services,2030,434.51,0.49924514
Net Zero Emissions by 2050 Scenario,World,Total,Services,2040,105.7,0.878185108
Net Zero Emissions by 2050 Scenario,World,Total,Services,2050,0.75,0.999135656
Net Zero Emissions by 2050 Scenario,World,Total,Total energy supply,2020,0.97,0
Net Zero Emissions by 2050 Scenario,World,Total,Total energy supply,2030,234.11,-240.3505155
Net Zero Emissions by 2050 Scenario,World,Total,Total energy supply,2040,1008.24,-1038.42268
Net Zero Emissions by 2050 Scenario,World,Total,Total energy supply,2050,1525.91,-1572.103093
